satellite_id,timestamp,orbit_error_m,clock_error_ns,radial_error_m,ephemeris_age_hours
G13,2025-07-06 01:30:00,50526370.43738971,-163173.80498626933,-48100736.569407955,0.5
G14,2025-07-06 01:30:00,46539644.4307022,6852825.2351541165,-41014550.45952937,0.5
G15,2025-07-06 01:30:00,18304200.524016492,5710658.519841423,-6207506.16640124,0.5
G16,2025-07-06 01:30:00,49919493.37919731,11910871.200217683,-46788362.01592805,0.5
G17,2025-07-06 01:30:00,43720136.36876789,-23821705.988785993,-35636241.59442406,0.5
G18,2025-07-06 01:30:00,36762085.204409085,9300258.929921068,-25333276.56544987,0.5
G19,2025-07-06 01:30:00,39544270.7783923,4568536.495618845,-29726286.51063122,0.5
G20,2025-07-06 01:30:00,35186700.30391888,-163160.67092291612,-23226067.964967147,0.5
G21,2025-07-06 01:30:00,31086126.57756259,45522271.70860216,-18190590.981431287,0.5
G22,2025-07-06 01:30:00,38553052.81058157,1305327.3774998542,-27979158.979357146,0.5
G23,2025-07-06 01:30:00,52448331.34607597,8973927.346652621,-51934156.04629191,0.5
G24,2025-07-06 01:30:00,47034855.235289924,13216123.889247168,-41338581.7579711,0.5
G25,2025-07-06 01:30:00,41767309.31915857,-2121095.700298958,-33234687.653636657,0.4955555555555556
G26,2025-07-06 01:30:00,16114311.873760467,4894867.653970034,-4748661.977684447,0.5
G27,2025-07-06 01:30:00,18907901.775077544,489518.4222227288,-6888565.9116026815,0.5
G28,2025-07-06 01:30:00,47881489.68217421,-4242218.491546583,-43164228.79599531,0.5
G29,2025-07-06 01:30:00,27026634.168126736,6852812.2523786705,-13857005.083599225,0.5
G30,2025-07-06 01:30:00,37188564.34080948,14684586.071738247,-25827692.705694813,0.5
G31,2025-07-06 01:30:00,47148550.91493292,1957949.3777525285,-41879981.447940424,0.5
G32,2025-07-06 01:30:00,39251493.68092273,16805693.372878775,-28871804.554714844,0.5
G01,2025-07-06 01:45:00,44561946.43213129,12563491.852648146,-37378012.27129023,0.25
G02,2025-07-06 01:45:00,5801824.411027594,12889803.29947035,-1105314.9915743778,0.25
G03,2025-07-06 01:45:00,34363846.98105418,,-22380044.728245012,0.25
G04,2025-07-06 01:45:00,30759118.639534544,6037010.298251328,-17778666.393317886,0.25
G05,2025-07-06 01:45:00,34285830.01637111,-1305299.8700025945,-22275468.566985305,0.24555555555555555
G06,2025-07-06 01:45:00,34059619.459829904,-23005882.06814956,-21846213.039486453,0.24555555555555555
G07,2025-07-06 01:45:00,38440647.90309624,-6200209.629934377,-27293722.205399547,0.24555555555555555
G08,2025-07-06 01:45:00,29157112.422610648,2121122.3707171786,-16339858.29995868,0.25
G09,2025-07-06 01:45:00,34296110.90729412,11584512.26423817,-22119844.253432497,0.25
G10,2025-07-06 01:45:00,48017568.98100603,-14684597.738335812,-43659159.00565268,0.25
G11,2025-07-06 01:45:00,15974814.885149302,12726659.47421486,-4873101.038019869,0.25
G12,2025-07-06 01:45:00,44171585.72772869,-1957926.9491442884,-36904624.066615134,0.25
G13,2025-07-06 01:45:00,51639985.77146742,-163175.9371321517,-50224281.96572198,0.25
G14,2025-07-06 01:45:00,45485092.96252075,6852823.986333952,-39174177.668630466,0.25
G15,2025-07-06 01:45:00,13789521.88691999,5710662.889698073,-3539865.9151085117,0.25
G16,2025-07-06 01:45:00,50441481.51187479,11910873.86197092,-47861821.732466385,0.25
G17,2025-07-06 01:45:00,45241027.89024631,-23821702.93002814,-38150905.67032399,0.25
G18,2025-07-06 01:45:00,36434424.36334715,9300259.82541394,-24896303.40649703,0.25
G19,2025-07-06 01:45:00,40633995.67110221,4568533.525859939,-31371671.989545457,0.25
G20,2025-07-06 01:45:00,33392575.637525044,-163159.83567596978,-20916490.83133704,0.25
G21,2025-07-06 01:45:00,29494962.65360919,45522271.7442564,-16375203.56485603,0.25
G22,2025-07-06 01:45:00,37050068.84534721,1305327.767188253,-25889138.838453468,0.25
G23,2025-07-06 01:45:00,51934029.26419184,8973925.707458789,-50921550.668953076,0.25
G24,2025-07-06 01:45:00,46756717.71751755,13216119.613866124,-40775721.98365316,0.25
G25,2025-07-06 01:45:00,42322261.619164,-2121099.153423696,-34105406.36959745,0.24555555555555555
G26,2025-07-06 01:45:00,15039585.603452316,4894864.597658012,-4066411.8304922665,0.25
G27,2025-07-06 01:45:00,22300217.194332108,489518.2740659036,-9520313.721560929,0.25
G28,2025-07-06 01:45:00,46699850.35646315,-4242218.47447836,-41060489.11788794,0.25
G29,2025-07-06 01:45:00,28755605.23143421,6852811.550665751,-15658223.277149118,0.25
G30,2025-07-06 01:45:00,38318394.21746574,14684585.581347259,-27438767.507685058,0.25
G31,2025-07-06 01:45:00,46719278.77204299,1957952.5261895773,-41141311.642059065,0.25
G32,2025-07-06 01:45:00,37164795.43579915,16805694.427210823,-25845883.164507136,0.25
G01,2025-07-06 02:00:00,46827377.60128608,12563491.895425683,-41270805.87509667,0.0
G02,2025-07-06 02:00:00,5836633.985559555,12889798.727290722,-1029063.5775181896,0.0
G03,2025-07-06 02:00:00,34223521.318191506,,-22202923.36558554,0.0
G04,2025-07-06 02:00:00,27255659.61019725,6037010.964790461,-13967426.21994115,0.0
G05,2025-07-06 02:00:00,33490318.81124586,-1305301.8782220378,-21265662.88727839,0.0044444444444444444
G06,2025-07-06 02:00:00,33187548.85893297,-23005881.351768963,-20734881.36790683,0.0044444444444444444
G07,2025-07-06 02:00:00,37255557.67632675,-6200208.490742979,-25596283.77331241,0.0
G08,2025-07-06 02:00:00,32398401.5569562,2121119.4984185803,-20070040.70477591,0.0
G09,2025-07-06 02:00:00,36310713.608663835,11584512.265006362,-24786291.46169979,0.0
G10,2025-07-06 02:00:00,47834495.33893358,-14684600.839260465,-43360691.450780965,0.0
G11,2025-07-06 02:00:00,20044309.815844618,12726659.066206448,-7630805.186420164,0.0
G12,2025-07-06 02:00:00,44335813.713159926,-1957927.576888751,-37199117.94956911,0.0
